method,split,true_label,predicted_label,count,row_fraction
nearest_homolog,random,3.1,4.1,0,0
nearest_homolog,random,1.1,2.7,5,0.55555555555555558
nearest_homolog,random,1.1,3.1,0,0
nearest_homolog,random,1.1,1.1,4,0.44444444444444442
nearest_homolog,random,1.1,2.1,0,0
nearest_homolog,random,1.1,4.1,0,0
nearest_homolog,random,2.1,2.7,8,1
nearest_homolog,random,2.1,3.1,0,0
nearest_homolog,random,2.1,1.1,0,0
nearest_homolog,random,2.1,2.1,0,0
nearest_homolog,random,2.1,4.1,0,0
nearest_homolog,random,4.1,2.7,7,1
nearest_homolog,random,4.1,3.1,0,0
nearest_homolog,random,4.1,1.1,0,0
nearest_homolog,random,4.1,2.1,0,0
nearest_homolog,random,4.1,4.1,0,0
nearest_homolog,cluster70,2.7,2.7,29,1
nearest_homolog,cluster70,2.7,3.1,0,0
nearest_homolog,cluster70,2.7,1.1,0,0
nearest_homolog,cluster70,2.7,2.1,0,0
nearest_homolog,cluster70,2.7,4.1,0,0
nearest_homolog,cluster70,3.1,2.7,10,0.76923076923076927
nearest_homolog,cluster70,3.1,3.1,3,0.23076923076923078
nearest_homolog,cluster70,3.1,1.1,0,0
nearest_homolog,cluster70,3.1,2.1,0,0
nearest_homolog,cluster70,3.1,4.1,0,0
nearest_homolog,cluster70,1.1,2.7,3,0.33333333333333331
nearest_homolog,cluster70,1.1,3.1,0,0
nearest_homolog,cluster70,1.1,1.1,6,0.66666666666666663
nearest_homolog,cluster70,1.1,2.1,0,0
nearest_homolog,cluster70,1.1,4.1,0,0
nearest_homolog,cluster70,2.1,2.7,8,1
nearest_homolog,cluster70,2.1,3.1,0,0
nearest_homolog,cluster70,2.1,1.1,0,0
nearest_homolog,cluster70,2.1,2.1,0,0
nearest_homolog,cluster70,2.1,4.1,0,0
nearest_homolog,cluster70,4.1,2.7,5,0.7142857142857143
nearest_homolog,cluster70,4.1,3.1,0,0
nearest_homolog,cluster70,4.1,1.1,0,0
nearest_homolog,cluster70,4.1,2.1,0,0
nearest_homolog,cluster70,4.1,4.1,2,0.2857142857142857
nearest_homolog,cluster50,2.7,2.7,29,1
nearest_homolog,cluster50,2.7,3.1,0,0
nearest_homolog,cluster50,2.7,1.1,0,0
nearest_homolog,cluster50,2.7,2.1,0,0
nearest_homolog,cluster50,2.7,4.1,0,0
nearest_homolog,cluster50,3.1,2.7,9,0.69230769230769229
nearest_homolog,cluster50,3.1,3.1,4,0.30769230769230771
nearest_homolog,cluster50,3.1,1.1,0,0
nearest_homolog,cluster50,3.1,2.1,0,0
nearest_homolog,cluster50,3.1,4.1,0,0
nearest_homolog,cluster50,1.1,2.7,4,0.44444444444444442
nearest_homolog,cluster50,1.1,3.1,0,0
nearest_homolog,cluster50,1.1,1.1,5,0.55555555555555558
nearest_homolog,cluster50,1.1,2.1,0,0
nearest_homolog,cluster50,1.1,4.1,0,0
nearest_homolog,cluster50,2.1,2.7,7,0.875
nearest_homolog,cluster50,2.1,3.1,0,0
nearest_homolog,cluster50,2.1,1.1,0,0
nearest_homolog,cluster50,2.1,2.1,1,0.125
nearest_homolog,cluster50,2.1,4.1,0,0
nearest_homolog,cluster50,4.1,2.7,4,0.5714285714285714
nearest_homolog,cluster50,4.1,3.1,0,0
nearest_homolog,cluster50,4.1,1.1,0,0
nearest_homolog,cluster50,4.1,2.1,0,0
nearest_homolog,cluster50,4.1,4.1,3,0.42857142857142855
nearest_homolog,cluster30,2.7,2.7,29,1
nearest_homolog,cluster30,2.7,3.1,0,0
nearest_homolog,cluster30,2.7,1.1,0,0
nearest_homolog,cluster30,2.7,2.1,0,0
nearest_homolog,cluster30,2.7,4.1,0,0
nearest_homolog,cluster30,3.1,2.7,11,0.84615384615384615
nearest_homolog,cluster30,3.1,3.1,2,0.15384615384615385
nearest_homolog,cluster30,3.1,1.1,0,0
nearest_homolog,cluster30,3.1,2.1,0,0
nearest_homolog,cluster30,3.1,4.1,0,0
nearest_homolog,cluster30,1.1,2.7,5,0.55555555555555558
nearest_homolog,cluster30,1.1,3.1,0,0
nearest_homolog,cluster30,1.1,1.1,4,0.44444444444444442
nearest_homolog,cluster30,1.1,2.1,0,0
nearest_homolog,cluster30,1.1,4.1,0,0
nearest_homolog,cluster30,2.1,2.7,8,1
nearest_homolog,cluster30,2.1,3.1,0,0
nearest_homolog,cluster30,2.1,1.1,0,0
nearest_homolog,cluster30,2.1,2.1,0,0
nearest_homolog,cluster30,2.1,4.1,0,0
nearest_homolog,cluster30,4.1,2.7,7,1
nearest_homolog,cluster30,4.1,3.1,0,0
nearest_homolog,cluster30,4.1,1.1,0,0
nearest_homolog,cluster30,4.1,2.1,0,0
nearest_homolog,cluster30,4.1,4.1,0,0
esm2_35m,random,2.7,2.7,26,0.89655172413793105
esm2_35m,random,2.7,3.1,3,0.10344827586206896
esm2_35m,random,2.7,1.1,0,0
esm2_35m,random,2.7,2.1,0,0
esm2_35m,random,2.7,4.1,0,0
esm2_35m,random,3.1,2.7,2,0.15384615384615385
esm2_35m,random,3.1,3.1,9,0.69230769230769229
esm2_35m,random,3.1,1.1,0,0
esm2_35m,random,3.1,2.1,0,0
esm2_35m,random,3.1,4.1,2,0.15384615384615385
esm2_35m,random,1.1,2.7,0,0
esm2_35m,random,1.1,3.1,0,0
esm2_35m,random,1.1,1.1,8,0.88888888888888884
esm2_35m,random,1.1,2.1,0,0
esm2_35m,random,1.1,4.1,1,0.1111111111111111
esm2_35m,random,2.1,2.7,2,0.25
esm2_35m,random,2.1,3.1,0,0
esm2_35m,random,2.1,1.1,0,0
esm2_35m,random,2.1,2.1,6,0.75
esm2_35m,random,2.1,4.1,0,0
esm2_35m,random,4.1,2.7,0,0
esm2_35m,random,4.1,3.1,1,0.14285714285714285
